source,target,context
Experience Information,Información de la Experiencia,
Company,Empresa,
Experience Name,Nombre de la Experiencia,
Description,Descripción,
Event Duration,Duración del Evento,
Pricing,Precios,
Individual Price,Precio Individual,
Route Price,Precio de Ruta,
Package Mode,Modo de Paquete,
Establishment,Establecimiento,
Route,Ruta,
Both,Ambos,
Deposit Settings,Configuración de Depósito,
Deposit Required,Depósito Requerido,
Deposit Type,Tipo de Depósito,
Amount,Cantidad,
Deposit Value,Valor del Depósito,
Deposit TTL (Hours),TTL del Depósito (Horas),
Settings,Configuración,
Manual Confirmation Required,Confirmación Manual Requerida,
Status,Estado,
ONLINE,EN LÍNEA,
OFFLINE,FUERA DE LÍNEA,
Route Information,Información de la Ruta,
Route Name,Nombre de la Ruta,
ARCHIVED,ARCHIVADO,
Price Mode,Modo de Precio,
Manual,Manual,
Sum,Suma,
Price,Precio,
Route Experiences,Experiencias de la Ruta,
Experiences,Experiencias,
Ticket Information,Información del Boleto,
Contact,Contacto,
Slot,Espacio,
Party Size,Tamaño del Grupo,
Expires At,Expira En,
Snapshots,Instantáneas,
Policy Snapshot (JSON),Instantánea de Política (JSON),
Price Snapshot (JSON),Instantánea de Precio (JSON),
Deposit,Depósito,
Deposit Amount,Monto del Depósito,
PENDING,PENDIENTE,
CONFIRMED,CONFIRMADO,
CHECKED_IN,REGISTRADO,
COMPLETED,COMPLETADO,
EXPIRED,EXPIRADO,
REJECTED,RECHAZADO,
CANCELLED,CANCELADO,
NO_SHOW,NO SE PRESENTÓ,
Slot Information,Información del Espacio,
Date,Fecha,
Time,Hora,
Calendar Range,Rango del Calendario,
Date From,Fecha Desde,
Date To,Fecha Hasta,
Time From,Hora Desde,
Time To,Hora Hasta,
Capacity,Capacidad,
Max Capacity,Capacidad Máxima,
Reserved Capacity,Capacidad Reservada,
Slot Status,Estado del Espacio,
OPEN,ABIERTO,
CLOSED,CERRADO,
BLOCKED,BLOQUEADO,
Quotation Information,Información de la Cotización,
Lead,Prospecto,
Establishment,Establecimiento,
Conversation,Conversación,
Valid Until,Válido Hasta,
Total Price,Precio Total,
DRAFT,BORRADOR,
SENT,ENVIADO,
ACCEPTED,ACEPTADO,
Snapshot,Instantánea,
Snapshot (JSON),Instantánea (JSON),
Lead Information,Información del Prospecto,
Interest Type,Tipo de Interés,
Lost Reason,Razón de Pérdida,
No Response,Sin Respuesta,
Price Too High,Precio Muy Alto,
Not Interested,No Interesado,
Other,Otro,
Last Interaction At,Última Interacción En,
OPEN,ABIERTO,
IN_PROGRESS,EN PROGRESO,
CONVERTED,CONVERTIDO,
LOST,PERDIDO,
DISCARDED,DESCARTADO,
Contact Information,Información de Contacto,
Full Name,Nombre Completo,
Phone,Teléfono,
Email,Correo Electrónico,
Preferences,Preferencias,
Preferred Language,Idioma Preferido,
Preferred Channel,Canal Preferido,
Opt-In Status,Estado de Opt-In,
Do Not Contact,No Contactar,
Channel Opt-Ins,Opt-In de Canales,
Privacy,Privacidad,
Privacy Notes,Notas de Privacidad,
Integration,Integración,
Conversation Information,Información de la Conversación,
Channel,Canal,
Summary,Resumen,
Highlights,Destacados,
Highlights (JSON),Destacados (JSON),
